name,date
"Molkerei Ammerland eG
b) Sitz, Niederlassung, inl",17.05.1890
"Molkerei Grafschaft Hoya eG
b) Sitz, Niederlassun",haftsregist
"Molkerei Hasenfleet eG
b) Sitz, Niederlassung, in",haftsregist
"Molkerei Lamstedt eG
b) Sitz, Niederlassung, inlä",haftsregist
"Molkerei Niederjossa e.G.
b) Sitz, Niederlassung,",10.11.1970
"Molkereigenossenschaft Mangfalltal-Glonn eG
b) Si",19.04.2016
"Molkereigenossenschaft Hohenlohe-Franken eG
b) Si",23.05.1959
"Molkereigenossenschaft Radeberg Raiffeisen eG
b)",28.06.1990
"Mühlengenossenschaft Römerstein eG
b) Sitz, Niede",17.02.1928
"Raiffeisen Mittelems eG
b) Sitz, Niederlassung, i",05.11.2001
"Raiffeisen Centrale Delbrücker Land eG
b) Sitz, N",15.12.1964
Obst- und Gemüse-Absatzgenossenschaft Nordbaden e,haftsregist
"Raiffeisen Obergrafschaft eG
b) Sitz, Niederlassu",haftsregist
"Raiffeisen-Warengenossenschaft Emsland-Süd eG
b)","....
Zulet"
"Raiffeisenbank Knoblauchsland-Bibertgrund eG
b) S",20.07.1924
Erzeugergemeinschaft Molkereigenossenschaft Cham,27.02.1940
"Erzeugergemeinschaft Neuburger Milchwerke eG
b) S",26.10.1934
"Goldsteig Käserei Plattling eG
b) Sitz, Niederlas",16.07.1927
"Hochwald Milch eG
b) Sitz, Niederlassung, inländi",31.01.1932
"Milchliefergenossenschaft Altmark eG
b) Sitz, Nie",26.07.1990
"Milchliefergenossenschaft Eichstätt e.G.
b) Sitz,",06.03.1939
"Milchliefergenossenschaft Schwenningen eG
b) Sitz",15.03.1901
"Milchliefergenossenschaft Westheim eG
b) Sitz, Ni",06.07.1899
"Milchwerke Berchtesgadener Land-Chiemgau eG
b) Si",20.01.1927
"Molkerei Grafschaft Hoya eG
b) Sitz, Niederlassun",haftsregist
"Molkerei Niederjossa e.G.
b) Sitz, Niederlassung,",10.11.1970
Molkereigenossenschaft Burggen eingetragene Genos,04.09.1938
"Molkereigenossenschaft Creglingen e.G.
b) Sitz, N",20.03.1925
"Molkereigenossenschaft Cloppenburg eG
b) Sitz, Ni",27.07.1884
Molkereigenossenschaft Dettingen unter Teck e.G.,16.04.1908
"Molkereigenossenschaft Erding eG
b) Sitz, Niederl",05.01.1939
"Molkereigenossenschaft Feuchtwangen eG
b) Sitz, N",21.01.1897
"Molkereigenossenschaft Hohenlohe-Franken eG
b) Si",23.05.1959
"Molkereigenossenschaft Geslau eG
b) Sitz, Niederl",12.02.1901
"Molkereigenossenschaft Landsberg am Lech eG
b) Si",10.05.1914
Molkereigenossenschaft Grünenbach eingetragene Ge,29.06.1934
"Molkereigenossenschaft Lauingen-Höchstädt eG
b) S",02.02.1895
"Molkereigenossenschaft Mangfalltal-Glonn eG
b) Si",19.04.2016
Molkereigenossenschaft Pleystein eG Erzeugergemei,02.07.2002
Molkereigenossenschaft Rothenburg ob der Tauber-S,02.03.1946
"Molkereigenossenschaft Radeberg Raiffeisen eG
b)",28.06.1990
"Molkereigenossenschaft Salzachtal eG
b) Sitz, Nie",10.07.1942
"Molkereigenossenschaft Wielenbach eG
b) Sitz, Nie",18.10.1909
"Molkereigenossenschaft e.G. Glauchau
b) Sitz, Nie",25.05.1990
"Molkereigenossenschaft eG Hainichen
b) Sitz, Nied",30.05.1990
"Mühlengenossenschaft Römerstein eG
b) Sitz, Niede",17.02.1928
"""HEIMAT"" Gemeinnützige Bau- und Siedlungsgenossen",haftsregist
"""Rhein-Wupper-Bau"" Wohnungs- und Siedlungsgemeins",08.11.1950
"AdAptiv BauGeno eG
b) Sitz, Niederlassung, inländ",13.06.2021
"Arbeiter-Baugenossenschaft Dürmentingen eG
b) Sit",13.08.1921
Bau und Wohngenossenschaft Osterkirchenviertel eG,21.01.1990
"Bau Drömling eG
b) Sitz, Niederlassung, inländisc",28.11.1991
"Bau- und Energiegenossenschaft Deckenbach eG
b) S",22.12.2018
"Bau- u. Sparverein Salach e.G.
b) Sitz, Niederlas",20.04.1911
"Bau- und Siedlungsgenossenschaft ""Neuenhof"" einge",28.08.1921
"BHG Baugenossenschaft eG
b) Sitz, Niederlassung,",24.06.1997
"BODEG Bäuerliche Vermarktung Oberes Donautal eG
b",08.09.1998
"BVT Bau- und Vermietungsgenossenschaft Trier eG
b",12.02.1951
"Barnhouse Bauern TAGWERK eG
b) Sitz, Niederlassun","2.7.2021
b"
"BSG-ALLGÄU, Bau- und Siedlungsgenossenschaft eG
b",10.04.1906
"Bau- und Siedlungsgenossenschaft ""Selbsthilfe"" eG",21.11.2014
"Bau- und Siedlungsgenossenschaft Gommern eG
b) Si",27.11.1992
"Bau- und Siedlungsgenossenschaft Aufbau eG
b) Sit",04.02.1949
"Bau- und Siedlungsgenossenschaft ""VOLKSWOHL"" eG
b",24.10.2018
Bau- und Siedlungsgenossenschaft Düsseldorf e.G.,28.06.1950
"Bau- und Siedlungsgenossenschaft Grünberg, Laubac",17.11.1936
"Bau- und Siedlungsgenossenschaft Iserlohn eG
b) S",13.04.1937
"gabe des aktuellen Registerinhalts -
Abruf vom 11.",be des aktu
"Bau- und Siedlungsgenossenschaft Kelheim e.G.
b)",20.06.2018
Bau- und Siedlungsgenossenschaft Schwandorf e.G.,24.09.1948
"Bau- und Sparverein Geislingen eG
b) Sitz, Nieder",27.10.1895
Bau- und Siedlungsgenossenschaft für den Kreis He,04.03.1937
"Bau- und Siedlungsgenossenschaft eG
b) Sitz, Nied",18.07.1954
"Bau- und Siedlungsgenossenschaft Tegernsee e.G.
b",17.09.1948
"Bau- und Sparverein Göppingen eG
b) Sitz, Niederl",07.03.1897
"Bau- und Sparverein Ravensburg eG
b) Sitz, Nieder",20.06.1903
Bau- und Sparverein der Bediensteten und Arbeiter,20.06.1907
"Bau- und Vermittlungsgenossenschaft HRS eG
b) Sit",01.01.2021
"Bau- und Wohngenossenschaft ""Lebendiges Wohnen"" e",haftsregist
Bau- und Wohngenossenschaft Wolfgang-Borchert-Sie,27.02.1982
"Bau- und Wohnungsgenossenschaft ""Gartenbauversuch",20.12.2018
"Bau- und Wohnungsgenossenschaft ""Werkbundsiedlung",21.07.1986
"Bau- und Wohnungsgenossenschaft Lippstadt eG
b) S",09.05.1958
"Bau- und Wohnungsgenossenschaft Neckar-Fils eG
b)",08.01.1949
Bau- und Wohnungsgenossenschaft Verein für Wohnun,02.03.1919
"Bau- und Wohnungsgenossenschaft Wadersloh e.G.
b)",11.04.1952
"Bau- und Wohnungsgenossenschaft Weyhe e.G.
b) Sit",17.01.1919
"Bau- und Wohnungsverein zu Norden eG
b) Sitz, Nie",19.06.2008
"Bauen + Wohnen eingetragene Genossenschaft
b) Sit",haftsregist
"Baugenossenschaft ""Friedenau"" der Straßenbahner e",01.12.1919
"Baugenossenschaft 1913 eG
b) Sitz, Niederlassung,",13.07.1913
"Baugenossenschaft Arlinger eG
b) Sitz, Niederlass",01.04.1914
"Baugenossenschaft Bad Cannstatt eG
b) Sitz, Niede",28.03.1893
"Baugenossenschaft Bad Saulgau eG
b) Sitz, Niederl",22.11.1948
"Baugenossenschaft Busenbach e.G.
b) Sitz, Niederl",23.05.1958
Baugenossenschaft Der neue Weg in die Gemeinschaf,08.11.1997
"Baugenossenschaft Familienheim Lörrach eG
b) Sitz",10.04.1949
"Baugenossenschaft Familienheim Rastatt eG
b) Sitz",05.03.1949
"Baugenossenschaft Filder eG
b) Sitz, Niederlassun",17.07.1921
"Baugenossenschaft Gartenstadt Rastatt eG
b) Sitz,",23.08.1909
"Baugenossenschaft Huchenfeld eG
b) Sitz, Niederla",16.01.1949
"Baugenossenschaft Ladenburg e.G
b) Sitz, Niederla",16.04.1919
"Baugenossenschaft Niederberg eG
b) Sitz, Niederla",14.04.1949
"Baugenossenschaft Seckenheim e.G.
b) Sitz, Nieder",31.08.1920
"Baugenossenschaft Sinsheim eG
b) Sitz, Niederlass",01.01.1900
"Baugenossenschaft Steinheim am Main eG
b) Sitz, N",05.11.1903
Baugenossenschaft Tauberbischofsheim eingetragene,haftsregist
"Baugenossenschaft Wangen im Allgäu eG.
b) Sitz, N",15.01.1954
"Baugenossenschaft Wiehl eG
b) Sitz, Niederlassung",haftsregist
"Baugenossenschaft eG Weingarten/Baden
b) Sitz, Ni",01.01.1900
"Bauhütte Heidelberg Baugenossenschaft eG
b) Sitz,",05.05.1949
"Baur Immo eG
b) Sitz, Niederlassung, inländische",28.04.2022
"Bauverein ""Eigenheim"" e.G.
b) Sitz, Niederlassung",11.11.1990
"Bauverein Bentheim eG
b) Sitz, Niederlassung, inl",01.03.1924
"Bauverein Meerbusch eG
b) Sitz, Niederlassung, in",11. März/2
"Bauverein Schwäbisch Gmünd eG
b) Sitz, Niederlass",18.07.2018
"Bauverein und Siedlungsgenossenschaft Hamm e G
b)",haftsregist
Beamten Bau- und Wohnungsverein eingetragene Geno,haftsregist
Beamten- Bau- und Wohnungsverein in Emden eingetr,17.08.1962
"Bernshausen Bau und Investitions eG
b) Sitz, Nied",15. Septem
"Breitband Bau Ortenau eG
b) Sitz, Niederlassung,",16.07.2018
BuG Bauen und Gemeinschaft eG Wohnungsbaugenossen,26.01.2018
"Burkolo-BauTeam eG
b) Sitz, Niederlassung, inländ",24.04.2010
"Care-Bau eG
b) Sitz, Niederlassung, inländische G",10.01.2012
"Düsseldorfer Bau- und Spargenossenschaft eG
b) Si",haftsregist
"ECO Wohnbaugenossenschaft eG
b) Sitz, Niederlassu",10.02.2018
"ELG Bau Leipzig eG Fachhandel für Baustoffe, Bauh",30.05.1991
"EVG Bau- und Glastechnik eG
b) Sitz, Niederlassun",22.09.1902
Einkaufs- und Liefergenossenschaft des Bau- und B,08.05.1992
"Esser WohnBau eG
b) Sitz, Niederlassung, inländis",14.04.2019
Familienheim Buchen-Tauberbischofsheim Baugenosse,04.12.1946
"Fundament Bauen Wohnen Leben eG
b) Sitz, Niederla",21.07.2005
"G-novo Bau eG
b) Sitz, Niederlassung, inländische",30.08.2021
GBSL Bau- und Siedlungsgenossenschaft Lübbecke eG,13.10.1961
Gemeinnützige Bau- und Siedlungsgenossenschaft Kl,13.06.1949
Wohnungsgenossenschaft Selbsthilfe Wanne-Eickel e,26.06.1949
"pro... gemeinsam bauen und leben eG
b) Sitz, Nied",08.05.1999
Wuppertaler Bau- und Siedlungsgenossenschaft eing,09.03.1920
"Wohnungsgenossenschaft Lehrte von 1907 eG
b) Sitz",haftsregist
"Wohnungsbaugenossenschaft Wattenscheid eG
b) Sitz",30.10.1962
Wohnungsbaugenossenschaft GABLONZER SIEDLUNGSWERK,17.12.1949
Wohnreform eG Genossenschaft für gemeinschaftlich,28.02.2002
"Wohnen am Ochsenkopf eG
b) Sitz, Niederlassung, i",07.03.1953
"Wohn & Bau Genossenschaft eG
b) Sitz, Niederlassu",30.04.2021
"WBS Wuppertaler Bau- und Sparverein eG
b) Sitz, N",03.04.1929
Volks- Bau- und Sparverein Frankfurt am Main eing,24.06.2016
"Volk WohnBau eG
b) Sitz, Niederlassung, inländisc",05.12.2021
"Vivono Wohnungsgenossenschaft eG
b) Sitz, Niederl",24.04.2010
VOLKSWOHNUNGSWERK Bau- und Siedlungsgenossenschaf,21.06.1950
VAASCA Genossenschaft für Bau und Dienstleistunge,18.01.2021
"Robura Bau- und Immobilien eG
b) Sitz, Niederlass",04.01.2021
Produktivgenossenschaft der Bau- und Kunstschloss,03.02.1921
"OPULENTIA Wohnungsbau-Genossenschaft eG
b) Sitz,",30.04.2007
"OBV Bau- und Mietverwaltung eG
b) Sitz, Niederlas",01.01.2021
"NaBau eG
b) Sitz, Niederlassung, inländische Gesc",16.10.2010
"Münchner Bauern Genossenschaft eG
b) Sitz, Nieder",20.02.2019
"Lebensraum - Zuhause Bau Genossenschaft eG
b) Sit",07.09.2021
"Kreisbaugenossenschaft Ostalb eG
b) Sitz, Niederl",10.10.1935
"Kreisbaugenossenschaft Böblingen eG
b) Sitz, Nied",22.03.1919
"Kreisbau Main-Tauber eG
b) Sitz, Niederlassung, i",13.10.1954
"KreisBau Enz-Neckar eG
b) Sitz, Niederlassung, in",01.11.1946
Ketteler Baugenossenschaft eingetragene Genossens,haftsregist
"KNK eG
b) Sitz, Niederlassung, inländische Geschä",01.06.2021
"gabe des aktuellen Registerinhalts -
Abruf vom 11.",be des aktu
"Hochtaunus Baugenossenschaft eG
b) Sitz, Niederla",25.07.1947
"Herrenwald WohnBau eG
b) Sitz, Niederlassung, inl",24.04.1950
Helian Bau- und Dienstleistungsgenossenschaft eG,01.01.2021
"Handwerker-Baugenossenschaft Rastatt eG
b) Sitz,",23.04.1924
"HTI Bau eG Falkenstein
b) Sitz, Niederlassung, in",24.05.1991
"HRW Bauen + Wohnen Genossenschaft eG
b) Sitz, Nie",20.04.2020
"GlasBau Dessau eG
b) Sitz, Niederlassung, inländi",29.06.1990
"Genossenschaft für Bauen u. Wohnen eG
b) Sitz, Ni",06.12.1908
"Genossenschaft der Öko - Bauern eG
b) Sitz, Niede",16.11.1994
Genossenschaft für Bau- & Siedlungswesen Herborn,27.11.1958
"Gemeinnützige Baugenossenschaft Lauda eG
b) Sitz,",01.01.1900
"Gemeinnützige Baugenossenschaft Lenggries eG
b) S",27.11.1948
Gemeinnützige Bau- und Siedlungsgenossenschaft fü,24.03.1948
Gemeinnützige Bau- und Siedlungsgenossenschaft ei,06.04.1928
Gemeinnützige Bau- und Siedlungsgenossenschaft Wi,14.02.1966
Gemeinnützige Bau- und Siedlungsgenossenschaft Ba,17.03.1950
Gemeinnützige Bau- und Siedlungsgenossenschaft Al,05.06.1948
"ADH Dienstleistung und Handelsunternehmen eG
b) S",24.04.1992
"Agro-Farm Kleinau eG
b) Sitz, Niederlassung, inlä",27.11.1991
"Farmer Agrar eG
b) Sitz, Niederlassung, inländisc",07.12.2017
"TRANSPAREK AgroForstEnergie eG
b) Sitz, Niederlas",22.06.2010
"Transport- und Agro-Service Raguhn e.G.
b) Sitz,",06.07.1990
latt ist gelöschtDieses Blatt ist gelöscht,tt ist gelö
"ALBMILCH Verwertungsgenossenschaft e.G.
b) Sitz,",08.02.1935
latt ist zur Fortführung auf EDV umgeschriebenDies,tt ist zur
latt ist zur Fortführung auf EDV umgeschriebenDies,tt ist zur
latt ist zur Fortführung auf EDV umgeschriebenDies,tt ist zur
Agrarbetrieb Milch und Fleisch e.G. Bad Schmiedeb,18.09.1991
"Agrargenossenschaft ""Marktfrucht & Milch"" Düßnitz",30.04.1991
latt ist gelöscht,tt ist gelö
"Allgäu Milch Käse eG
b) Sitz, Niederlassung, inlä",07.11.1960
latt ist zur Fortführung auf EDV umgeschriebenDies,tt ist zur
führung in EDV umgeschrieben und geschlossen.Zur F,hrung in ED
"Allgäuer Bergbauern-Milch eG
b) Sitz, Niederlassu",15.05.1957
latt ist gelöschtDieses Blatt ist gelöschtDieses B,tt ist gelö
schtes Blatt in der EDV erfasst.Als gelöschtes Bla,htes Blatt
latt ist zur Fortführung auf EDV umgeschriebenDies,tt ist zur
latt ist zur Fortführung auf EDV umgeschriebenDies,tt ist zur
latt ist gelöschtDieses Blatt ist gelöschtDieses B,tt ist gelö
latt ist gelöschtDieses Blatt ist gelöschtDieses B,tt ist gelö
"Erzeugergemeinschaft Milch Plauen eG
b) Sitz, Nie",25.06.1991
latt ist gelöschtDieses Blatt ist gelöscht,tt ist gelö
latt ist gelöschtDieses Blatt ist gelöscht,tt ist gelö
latt ist zur Fortführung auf EDV umgeschriebenDies,tt ist zur
"Förlinger Milch eG
b) Sitz, Niederlassung, inländ",04.11.2021
"Hochwald Milch eG
b) Sitz, Niederlassung, inländi",31.01.1932
latt ist gelöschtDieses Blatt ist gelöscht,tt ist gelö
latt ist zur Fortführung auf EDV umgeschriebenDies,tt ist zur
schtes Blatt in der EDV erfasst.Als gelöschtes Bla,htes Blatt
latt ist zur Fortführung auf EDV umgeschriebenDies,tt ist zur
latt ist gelöschtDieses Blatt ist gelöschtDieses B,tt ist gelö
schtes Blatt in der EDV erfasst.Als gelöschtes Bla,htes Blatt
"Milch-Center ""Dorfheimat"" Prausitz eG
b) Sitz, Ni",02.07.1991
schtes Blatt in der EDV erfasstAls gelöschtes Blat,htes Blatt
latt ist zur Fortführung auf EDV umgeschriebenDies,tt ist zur
latt ist gelöschtDieses Blatt ist gelöschtDieses B,tt ist gelö
latt ist gelöschtDieses Blatt ist gelöscht,tt ist gelö
führung in EDV umgeschrieben und geschlossen.Zur F,hrung in ED
latt ist zur Fortführung auf EDV umgeschriebenDies,tt ist zur
"Milch-Union Oberbayern eG
b) Sitz, Niederlassung,",10.02.1937
latt ist gelöschtDieses Blatt ist gelöscht,tt ist gelö
latt ist gelöschtDieses Blatt ist gelöscht,tt ist gelö
schtes Blatt in der EDV erfasst.Als gelöschtes Bla,htes Blatt
führung in EDV umgeschrieben und geschlossen.Zur F,hrung in ED
schtes Blatt in der EDV erfasst.Als gelöschtes Bla,htes Blatt
"Milcherzeuger-Genossenschaft Pforzheim eG
b) Sitz",07.12.1960
führung in EDV umgeschrieben und geschlossen.Zur F,hrung in ED
Milcherzeugergenossenschaft Tannheim und Umgebung,05.12.1958
führung in EDV umgeschrieben und geschlossen.Zur F,hrung in ED
schtes Blatt in der EDV erfasst.Als gelöschtes Bla,htes Blatt
schtes Blatt in der EDV erfasst.Als gelöschtes Bla,htes Blatt
schtes Blatt in der EDV erfasst.Als gelöschtes Bla,htes Blatt
schtes Blatt in der EDV erfasst.Als gelöschtes Bla,htes Blatt
schtes Blatt in der EDV erfasst.Als gelöschtes Bla,htes Blatt
schtes Blatt in der EDV erfasst.Als gelöschtes Bla,htes Blatt
schtes Blatt in der EDV erfasst.Als gelöschtes Bla,htes Blatt
schtes Blatt in der EDV erfasst.Als gelöschtes Bla,htes Blatt
schtes Blatt in der EDV erfasst.Als gelöschtes Bla,htes Blatt
schtes Blatt in der EDV erfasst.Als gelöschtes Bla,htes Blatt
führung in EDV umgeschrieben und geschlossen.Zur F,hrung in ED
schtes Blatt in der EDV erfasst.Als gelöschtes Bla,htes Blatt
"Milchverwertungsgenossenschaft Tannheim EG
b) Sit",20.02.1913
schtes Blatt in der EDV erfasst.Als gelöschtes Bla,htes Blatt
schtes Blatt in der EDV erfasst.Als gelöschtes Bla,htes Blatt
schtes Blatt in der EDV erfasst.Als gelöschtes Bla,htes Blatt
"Milchwerk Crailsheim-Dinkelsbühl eG
b) Sitz, Nied",07.06.1935
"Milchwerke Mainfranken eG
b) Sitz, Niederlassung,",15.05.1951
führung in EDV umgeschrieben und geschlossen.Zur F,hrung in ED
"Milchwerke Schwaben eG
b) Sitz, Niederlassung, in",15.02.1922
führung in EDV umgeschrieben und geschlossen.Zur F,hrung in ED
latt ist gelöschtDieses Blatt ist gelöscht,tt ist gelö
latt ist zur Fortführung auf EDV umgeschriebenDies,tt ist zur
schtes Blatt in der EDV erfasstAls gelöschtes Blat,htes Blatt
schtes Blatt in der EDV erfasstAls gelöschtes Blat,htes Blatt
latt ist zur Fortführung auf EDV umgeschriebenDies,tt ist zur
latt ist gelöschtDieses Blatt ist gelöschtDieses B,tt ist gelö
latt ist gelöschtDieses Blatt ist gelöschtDieses B,tt ist gelö
latt ist gelöschtDieses Blatt ist gelöscht,tt ist gelö
"Zeller Milch eG
b) Sitz, Niederlassung, inländisc",04.05.2012
"Butter & Brot eG
b) Sitz, Niederlassung, inländis",01.12.2021
"Data NatuRe eG
b) Sitz, Niederlassung, inländisch",03.11.2015
"Natürliche Art Bad Elster eG
b) Sitz, Niederlassu",15.03.2018
"natürlich & unverpackt Werdau eG
b) Sitz, Niederl",19.01.2023
"Ermslebener Landwirtschaftsgenossenschaft eG
b) S",05.12.1991
latt ist gelöschtDieses Blatt ist gelöscht,tt ist gelö
"Landwirtschaftsgenossenschaft ""Elbufer"" Neuermark",30.06.1990
"Landwirtschaftsgenossenschaft '""Seegrund"" e.G.
b)",26.09.1991
Landwirtschaftsgenossenschaft e.G. Ottendorf/Krum,22.10.1990
"Wartburgland-Agrargenossenschaft eG
b) Sitz, Nied",26.06.1990
